Statement,subquestion
"Phó Thủ tướng Trần Hồng Hà thay mặt Chính phủ, Thủ tướng Chính phủ chúc mừng Đài Truyền hình Việt Nam, Đài truyền hình các tỉnh, thành phố trên cả nước, các đơn vị sản xuất truyền hình và TP. Hải Phòng sau 2 năm gián đoạn do đại dịch COVID-19  đã tổ chức rất thành công sự kiện quan trọng này.","Deputy Prime Minister Chang Hong-hae, on behalf of the government, congratulated Vietnamese TV, provincial TV, city TV, TV production and TP. After two years of interruption by the COVID-19 epidemic, Haifai organized this important event."
"Hành vi của Tô Văn Hải là cho phép người khác đổ chất thải rắn ra môi trường vàchôn, lấp chất thải trái phép.","Touan Hai's behavior is to allow people to dump their garbage into the environment and then, illegally, fill it up."
"SAWACO thông báo tạm ngưng cung cấp nước để thực hiện công tác bảo trì, bảo dưỡng định kỳ Nhà máy nước Tân Hiệp, thời gian thực hiện dự kiến từ 12 giờ ngày 25-3 (thứ bảy) đến 4 giờ ngày 26-3 (chủ nhật).","SAWACO announced a pause in the supply of water to carry out the maintenance, periodical maintenance of the New York City Water Plant, scheduled from 12:00 p.m. on Saturday, May 25, to 4:00 p.m. on Sunday, May 26."
"CLB luôn chuẩn bị rất kỹ lưỡng, chỉn chu chương trình lớn nhất trong năm, tuy nhiên vẫn gặp không ít thử thách chẳng hạn như NABC mùa 4 còn 10 ngày nữa là diễn ra nhưng quỹ nguyên góp không đủ, do đợt này đang trong mùa dịch nên kinh tế bị hạn chế.","The CLB has been preparing very carefully, the largest program of the year, but still faces challenges, like the NABC season four, which is 10 days away, but there's not enough funding, because it's in the season, so the economy is constrained."
"ILA tiếp nhận và hỗ trợ học sinh miễn phí, Bé được tham gia kiểm tra trình độ đầu vào, điểm đầu vào từ 20 điểm được học, tư vấn xếp lớp rất nhanh chóng và nhiệt tình.","ILA welcomes and supports students for free, and he participates in the entrance exams, the entrance scores from 20 points to be taken, and he counsels the class very quickly and enthusiastically."
"Để cảm ơn khi ai đó dành cho ta một lời khen, mở cửa cho mình, hay giúp mình một việc gì đó thì câu nói đơn giản nhất là ""thank you"".","To be grateful when someone gives you a compliment, opens your door or does something for you, the simplest word is ""thank you."""
Lý Hoàng Nam đã chơi tự tin để quân bình tỉ số 4-4 dù Siddharth đã sớm bẻ break để dẫn trước tới 4-1.,Lee Jong-un played confidently for the four-fourth overall despite Siddharth's early break to a 4-1 lead.
Chủ tịch VFF Trần Quốc Tuấn chức mừng HLV Philippe Troussier tại buổi họp báo ngày 20/2.,"The president of VFF, Mr. Chang, welcomed Philippe Troussier to the press conference on February 20th."
"Không gian ""Văn hóa ẩm thực"" giới thiệu các món ăn truyền thống của Việt Nam.","""Food Scene"" introduces traditional Vietnamese dishes."
Trường tiểu học ở Việt Nam đã áp dụng phương pháp LTP trong việc tiếp cận mới về việc học của học sinh và phương pháp này đã được lồng ghép vào chương trình giảng dạy quốc gia như thế nào.,"Elementary schools in Vietnam have adopted literacy as a new approach to learning, and how this has been integrated into national curricula."
"Hành vi của hai nguyên phó chủ tịch Hà Nội và nhiều lãnh đạo, cán bộ sở ngành được cơ quan C02 đánh giá là ""có dấu hiệu sai phạm"", nhưng những người này bị ông Chung chi phối, chỉ đạo và áp đặt thực hiện nên C02 kết luận họ ""không vụ lợi, không có động cơ cá nhân khác và không biết hành vi nâng khống giá cây"".","The behavior of the two vice presidents of Hanoi and many of the leaders, the heads of departments, was assessed by C02 as ""flawed,"" but these people were controlled and directed and imposed by Mr. Chung, so C02 concluded that they """
"Dự báo nhu cầu điện sẽ tiếp tục tăng trong giai đoạn tới, lên cao nhất 27,3% vào năm 2025 và đến năm 2024 tăng lên khoảng 26%.
","The projections are that electricity demand will continue to rise in the next phase, to a peak of 27.3 percent by 2025 and to a peak of 26 percent by 2024."
"Trường tiểu học Kim Giang tổ chức dã ngoại cho khối 3, 4, 5 nhân dịp ngày thành lập Đoàn Thanh niên Cộng sản Hồ Chí Minh.","Kim Jong Un Elementary School held its third, fourth and fifth grades on the occasion of the founding of the Communist Youth League of China."
Bà Huệ đã bị kỷ luật khiển trách vào tháng 6 năm 2020.,Ms. Huệ was impeached in June 2020.
